time;V(Net-_R1-Pad1_);V(Vcmp);
4.90948e-07;0;0.980628;
4.90953e-07;0;0.977161;
4.90958e-07;0;0.973707;
4.90963e-07;0;0.970266;
4.90968e-07;0;0.96684;
4.90973e-07;0;0.963427;
4.90978e-07;0;0.960029;
4.90983e-07;0;0.956645;
4.90988e-07;0;0.953276;
4.90993e-07;0;0.949922;
4.90998e-07;0;0.946584;
4.91003e-07;0;0.943261;
4.91008e-07;0;0.939953;
4.91013e-07;0;0.936662;
4.91018e-07;0;0.933387;
4.91023e-07;0;0.930129;
4.91028e-07;0;0.926887;
4.91033e-07;0;0.923663;
4.91038e-07;0;0.920455;
4.91043e-07;0;0.917266;
4.91048e-07;0;0.914094;
4.91053e-07;0;0.91094;
4.91058e-07;0;0.907804;
4.91063e-07;0;0.904687;
4.91068e-07;0;0.901588;
4.91073e-07;0;0.898509;
4.91078e-07;0;0.895449;
4.91083e-07;0;0.892408;
4.91088e-07;0;0.889387;
4.91093e-07;0;0.886386;
4.91098e-07;0;0.883406;
4.91103e-07;0;0.880446;
4.91108e-07;0;0.877506;
4.91113e-07;0;0.874588;
4.91118e-07;0;0.871691;
4.91123e-07;0;0.868816;
4.91128e-07;0;0.865962;
4.91133e-07;0;0.86313;
4.91138e-07;0;0.860321;
4.91143e-07;0;0.857534;
4.91148e-07;0;0.85477;
4.91153e-07;0;0.852028;
4.91158e-07;0;0.84931;
4.91163e-07;0;0.846616;
4.91168e-07;0;0.843945;
4.91173e-07;0;0.841298;
4.91178e-07;0;0.838676;
4.91183e-07;0;0.836078;
4.91188e-07;0;0.833504;
4.91193e-07;0;0.830956;
4.91198e-07;0;0.828432;
4.91203e-07;0;0.825935;
4.91208e-07;0;0.823462;
4.91213e-07;0;0.821016;
4.91218e-07;0;0.818596;
4.91223e-07;0;0.816202;
4.91228e-07;0;0.813835;
4.91233e-07;0;0.811495;
4.91238e-07;0;0.809182;
4.91243e-07;0;0.806896;
4.91248e-07;0;0.804638;
4.91253e-07;0;0.802407;
4.91258e-07;0;0.800205;
4.91263e-07;0;0.798031;
4.91268e-07;0;0.795885;
4.91273e-07;0;0.793768;
4.91278e-07;0;0.79168;
4.91283e-07;0;0.789621;
4.91288e-07;0;0.787592;
4.91293e-07;0;0.785592;
4.91298e-07;0;0.783622;
4.91303e-07;0;0.781682;
4.91308e-07;0;0.779772;
4.91313e-07;0;0.777893;
4.91318e-07;0;0.776045;
4.91323e-07;0;0.774227;
4.91328e-07;0;0.772441;
4.91333e-07;0;0.770686;
4.91338e-07;0;0.768962;
4.91343e-07;0;0.76727;
4.91348e-07;0;0.765611;
4.91353e-07;0;0.763983;
4.91358e-07;0;0.762388;
4.91363e-07;0;0.760826;
4.91368e-07;0;0.759296;
4.91373e-07;0;0.757799;
4.91378e-07;0;0.756336;
4.91383e-07;0;0.754906;
4.91388e-07;0;0.753509;
4.91393e-07;0;0.752147;
4.91398e-07;0;0.750818;
4.91403e-07;0;0.749524;
4.91408e-07;0;0.748264;
4.91413e-07;0;0.747038;
4.91418e-07;0;0.745847;
4.91423e-07;0;0.744691;
4.91428e-07;0;0.74357;
4.91433e-07;0;0.742485;
4.91438e-07;0;0.741435;
4.91443e-07;0;0.74042;
4.91448e-07;0;0.739441;
4.91453e-07;0;0.738499;
4.91458e-07;0;0.737592;
4.91463e-07;0;0.736722;
4.91468e-07;0;0.735888;
4.91473e-07;0;0.735091;
4.91478e-07;0;0.73433;
4.91483e-07;0;0.733607;
4.91488e-07;0;0.73292;
4.91493e-07;0;0.732271;
4.91498e-07;0;0.731659;
4.91503e-07;0;0.731085;
4.91508e-07;0;0.730548;
4.91513e-07;0;0.73005;
4.91518e-07;0;0.729589;
4.91523e-07;0;0.729166;
4.91528e-07;0;0.728782;
4.91533e-07;0;0.728435;
4.91538e-07;0;0.728128;
4.91543e-07;0;0.727859;
4.91548e-07;0;0.727628;
4.91553e-07;0;0.727437;
4.91558e-07;0;0.727285;
4.91563e-07;0;0.727171;
4.91568e-07;0;0.727097;
4.91573e-07;0;0.727062;
4.91578e-07;0;0.727067;
4.91583e-07;0;0.727111;
4.91588e-07;0;0.727195;
4.91593e-07;0;0.727318;
4.91598e-07;0;0.727482;
4.91603e-07;0;0.727685;
4.91608e-07;0;0.727928;
4.91613e-07;0;0.728211;
4.91618e-07;0;0.728535;
4.91623e-07;0;0.728899;
4.91628e-07;0;0.729303;
4.91633e-07;0;0.729747;
