time;V(Net-_R1-Pad1_);
3.7364e-10;0;
3.7414e-10;0;
3.7464e-10;0;
3.7514e-10;0;
3.7564e-10;0;
3.7614e-10;0;
3.7664e-10;0;
3.7714e-10;0;
3.7764e-10;0;
3.7814e-10;0;
3.7864e-10;0;
3.7914e-10;0;
3.7964e-10;0;
3.8014e-10;0;
3.8064e-10;0;
3.8114e-10;0;
3.8164e-10;0;
3.8214e-10;0;
3.8264e-10;0;
3.8314e-10;0;
3.8364e-10;0;
3.8414e-10;0;
3.8464e-10;0;
3.8514e-10;0;
3.8564e-10;0;
3.8614e-10;0;
3.8664e-10;0;
3.8714e-10;0;
3.8764e-10;0;
3.8814e-10;0;
3.8864e-10;0;
3.8914e-10;0;
3.8964e-10;0;
3.9014e-10;0;
3.9064e-10;0;
3.9114e-10;0;
3.9164e-10;0;
3.9214e-10;0;
3.9264e-10;0;
3.9314e-10;0;
3.9364e-10;0;
3.9414e-10;0;
3.9464e-10;0;
3.9514e-10;0;
3.9564e-10;0;
3.9614e-10;0;
3.9664e-10;0;
3.9714e-10;0;
3.9764e-10;0;
3.9814e-10;0;
3.9864e-10;0;
3.9914e-10;0;
3.9964e-10;0;
4.0014e-10;0;
4.0064e-10;0;
4.0114e-10;0;
4.0164e-10;0;
4.0214e-10;0;
4.0264e-10;0;
4.0314e-10;0;
4.0364e-10;0;
4.0414e-10;0;
4.0464e-10;0;
4.0514e-10;0;
4.0564e-10;0;
4.0614e-10;0;
4.0664e-10;0;
4.0714e-10;0;
4.0764e-10;0;
4.0814e-10;0;
4.0864e-10;0;
4.0914e-10;0;
4.0964e-10;0;
4.1014e-10;0;
4.1064e-10;0;
4.1114e-10;0;
4.1164e-10;0;
4.1214e-10;0;
4.1264e-10;0;
4.1314e-10;0;
4.1364e-10;0;
4.1414e-10;0;
4.1464e-10;0;
4.1514e-10;0;
4.1564e-10;0;
4.1614e-10;0;
4.1664e-10;0;
4.1714e-10;0;
4.1764e-10;0;
4.1814e-10;0;
4.1864e-10;0;
4.1914e-10;0;
4.1964e-10;0;
4.2014e-10;0;
4.2064e-10;0;
4.2114e-10;0;
4.2164e-10;0;
4.2214e-10;0;
4.2264e-10;0;
4.2314e-10;0;
4.2364e-10;0;
4.2414e-10;0;
4.2464e-10;0;
4.2514e-10;0;
4.2564e-10;0;
4.2614e-10;0;
4.2664e-10;0;
4.2714e-10;0;
4.2764e-10;0;
4.2814e-10;0;
4.2864e-10;0;
4.2914e-10;0;
4.2964e-10;0;
4.3014e-10;0;
4.3064e-10;0;
4.3114e-10;0;
4.3164e-10;0;
4.3214e-10;0;
4.3264e-10;0;
4.3314e-10;0;
4.3364e-10;0;
4.3414e-10;0;
4.3464e-10;0;
4.3514e-10;0;
4.3564e-10;0;
4.3614e-10;0;
4.3664e-10;0;
4.3714e-10;0;
4.3764e-10;0;
4.3814e-10;0;
4.3864e-10;0;
4.3914e-10;0;
4.3964e-10;0;
4.4014e-10;0;
4.4064e-10;0;
4.4114e-10;0;
4.4164e-10;0;
4.4214e-10;0;
4.4264e-10;0;
4.4314e-10;0;
4.4364e-10;0;
4.4414e-10;0;
4.4464e-10;0;
4.4514e-10;0;
4.4564e-10;0;
4.4614e-10;0;
4.4664e-10;0;
4.4714e-10;0;
4.4764e-10;0;
4.4814e-10;0;
4.4864e-10;0;
4.4914e-10;0;
4.4964e-10;0;
4.5014e-10;0;
4.5064e-10;0;
4.5114e-10;0;
4.5164e-10;0;
4.5214e-10;0;
4.5264e-10;0;
4.5314e-10;0;
4.5364e-10;0;
4.5414e-10;0;
4.5464e-10;0;
4.5514e-10;0;
4.5564e-10;0;
4.5614e-10;0;
4.5664e-10;0;
4.5714e-10;0;
4.5764e-10;0;
4.5814e-10;0;
4.5864e-10;0;
4.5914e-10;0;
4.5964e-10;0;
4.6014e-10;0;
4.6064e-10;0;
4.6114e-10;0;
4.6164e-10;0;
4.6214e-10;0;
4.6264e-10;0;
4.6314e-10;0;
4.6364e-10;0;
4.6414e-10;0;
4.6464e-10;0;
4.6514e-10;0;
4.6564e-10;0;
4.6614e-10;0;
4.6664e-10;0;
4.6714e-10;0;
4.6764e-10;0;
4.6814e-10;0;
4.6864e-10;0;
4.6914e-10;0;
4.6964e-10;0;
4.7014e-10;0;
4.7064e-10;0;
4.7114e-10;0;
4.7164e-10;0;
4.7214e-10;0;
4.7264e-10;0;
4.7314e-10;0;
4.7364e-10;0;
4.7414e-10;0;
4.7464e-10;0;
4.7514e-10;0;
4.7564e-10;0;
4.7614e-10;0;
4.7664e-10;0;
4.7714e-10;0;
4.7764e-10;0;
4.7814e-10;0;
4.7864e-10;0;
4.7914e-10;0;
4.7964e-10;0;
4.8014e-10;0;
4.8064e-10;0;
4.8114e-10;0;
4.8164e-10;0;
4.8214e-10;0;
4.8264e-10;0;
4.8314e-10;0;
4.8364e-10;0;
4.8414e-10;0;
4.8464e-10;0;
4.8514e-10;0;
4.8564e-10;0;
4.8614e-10;0;
4.8664e-10;0;
4.8714e-10;0;
4.8764e-10;0;
4.8814e-10;0;
4.8864e-10;0;
4.8914e-10;0;
4.8964e-10;0;
4.9014e-10;0;
4.9064e-10;0;
4.9114e-10;0;
4.9164e-10;0;
4.9214e-10;0;
4.9264e-10;0;
4.9314e-10;0;
4.9364e-10;0;
